"ts_code","name"
"017433.OF","交银稳安60天滚动C"
"017482.OF","博时中证全指电力公用事业联接C"
"017481.OF","博时中证全指电力公用事业联接A"
"970208.OF","国信经典组合三个月持有"
"016636.OF","汇添富稳安三个月持有B"
"016248.OF","银华创新动力优选A"
"016249.OF","银华创新动力优选C"
"016392.OF","易米中证科创创业50指数增强A"
"016393.OF","易米中证科创创业50指数增强C"
"017116.OF","浦银安盛中证光伏产业联接A"
"017117.OF","浦银安盛中证光伏产业联接C"
"017021.OF","中银招盈一年持有A"
"017022.OF","中银招盈一年持有C"
"017679.OF","国投瑞银精选收益C"
"017289.OF","泰达宏利首选企业C"
"016487.OF","东财产业优选A"
"017329.OF","永赢季季享90天持有中短债C"
"017685.OF","中欧预见积极养老目标五年持有"
"017328.OF","永赢季季享90天持有中短债A"
"016488.OF","东财产业优选C"
"159669.SZ","绿电ETF"
"016799.OF","建信鑫和30天持有A"
"017220.OF","永赢合嘉一年持有A"
"017221.OF","永赢合嘉一年持有C"
"562320.SH","沪深300价值ETF"
"016797.OF","嘉实双利A"
"017632.OF","汇添富中证全指医疗器械联接A"
"016798.OF","嘉实双利C"
"017634.OF","汇添富中证全指医疗器械联接D"
"017686.OF","中欧预见养老2055五年持有"
"159683.SZ","运输ETF"
"017633.OF","汇添富中证全指医疗器械联接C"
"016800.OF","建信鑫和30天持有C"
"017023.OF","信澳颐宁养老目标一年持有"
"017677.OF","中加丰尚纯债C"
"560960.SH","碳中和60指数ETF"
"016689.OF","中银淳享一年定开"
"017525.OF","华夏北证50成份A"
"016826.OF","安信稳健启航一年持有A"
"017557.OF","华夏中证沪港深500联接A"
"017445.OF","上投摩根沪深300指数增强A"
"017676.OF","广发积极养老目标五年持有"
"016827.OF","安信稳健启航一年持有C"
"016572.OF","招商中证银行AH价格优选联接A"
"588320.SH","双创50增强ETF"
"017678.OF","中加颐合纯债C"
"017558.OF","华夏中证沪港深500联接C"
"017440.OF","英大安旸纯债A"
"017513.OF","广发北证50成份C"
"016514.OF","创金合信信用红利E"
"159656.SZ","300成长ETF"
"007156.OF","京管泰富京元一年定开"
"017512.OF","广发北证50成份A"
"016573.OF","招商中证银行AH价格优选联接C"
"017526.OF","华夏北证50成份C"
"017446.OF","上投摩根沪深300指数增强C"
"017441.OF","英大安旸纯债C"
"016762.OF","嘉合锦荣C"
"017560.OF","华安上证科创板芯片联接C"
"017515.OF","易方达北证50成份A"
"017438.OF","博时安悦短债A"
"016986.OF","淳厚瑞和A"
"008931.OF","中加安瑞积极养老目标五年持有"
"017519.OF","汇添富北证50成份A"
"017516.OF","易方达北证50成份C"
"017439.OF","博时安悦短债C"
"017571.OF","华夏中证新能源联接A"
"017520.OF","汇添富北证50成份C"
"017559.OF","华安上证科创板芯片联接A"
"016987.OF","淳厚瑞和C"
"016761.OF","嘉合锦荣A"
"017572.OF","华夏中证新能源联接C"
"015547.OF","华商核心成长一年持有A"
"015548.OF","华商核心成长一年持有C"
"016103.OF","申万菱信沪深300优选指数增强A"
"016104.OF","申万菱信沪深300优选指数增强C"
"016785.OF","鹏华中证1000指数增强A"
