ts_code,name
003218.OF,前海开源祥和A
003673.OF,中加丰裕纯债A
003837.OF,东方臻享纯债A
003669.OF,东方红益鑫纯债C
003668.OF,东方红益鑫纯债A
501300.SH,美元债LOF
003606.OF,海富通美元收益美元
003579.OF,中金沪深300指数增强C
003838.OF,东方臻享纯债C
003833.OF,金鹰添富纯债
003378.OF,泰康策略优选
003507.OF,德邦现金宝B
511760.SH,德邦货币
003506.OF,德邦现金宝A
003719.OF,易方达标普医疗保健A美元现汇
161126.SZ,标普医疗保健LOF
003182.OF,华富弘鑫A
003183.OF,华富弘鑫C
519782.OF,交银裕隆纯债A
519783.OF,交银裕隆纯债C
003628.OF,兴银收益增强A
003746.OF,广发汇瑞3个月
003819.OF,广发景华纯债A
003590.OF,建信睿富纯债
001530.OF,万家瑞富A
003413.OF,华泰柏瑞新经济沪港深A
003730.OF,博时富华纯债
003767.OF,泰达宏利纯利A
003768.OF,泰达宏利纯利C
003578.OF,中金中证500指数增强C
003781.OF,鹏华兴裕
003690.OF,国泰鸿益C
003689.OF,国泰鸿益A
003521.OF,万家1-3年政策性金融债C
003520.OF,万家1-3年政策性金融债A
