"ts_code","symbol","name","area","industry","market","list_date"
"002418.SZ","002418","康盛股份","浙江","家用电器","中小板","20100601"
"002419.SZ","002419","天虹股份","深圳","百货","中小板","20100601"
"002420.SZ","002420","毅昌科技","广东","家用电器","中小板","20100601"
"002421.SZ","002421","达实智能","深圳","软件服务","中小板","20100603"
"002422.SZ","002422","科伦药业","四川","化学制药","中小板","20100603"
"002423.SZ","002423","中粮资本","河南","多元金融","中小板","20100603"
"002424.SZ","002424","贵州百灵","贵州","中成药","中小板","20100603"
"002425.SZ","002425","凯撒文化","广东","互联网","中小板","20100608"
"002426.SZ","002426","胜利精密","江苏","元器件","中小板","20100608"
"002427.SZ","002427","*ST尤夫","浙江","化纤","中小板","20100608"
"002428.SZ","002428","云南锗业","云南","小金属","中小板","20100608"
"002429.SZ","002429","兆驰股份","深圳","家用电器","中小板","20100610"
"002430.SZ","002430","杭氧股份","浙江","化工机械","中小板","20100610"
"002431.SZ","002431","棕榈股份","河南","建筑工程","中小板","20100610"
"002432.SZ","002432","九安医疗","天津","医疗保健","中小板","20100610"
"002433.SZ","002433","ST太安","广东","中成药","中小板","20100618"
"002434.SZ","002434","万里扬","浙江","汽车配件","中小板","20100618"
"002435.SZ","002435","长江健康","江苏","化学制药","中小板","20100618"
"002436.SZ","002436","兴森科技","深圳","元器件","中小板","20100618"
"002437.SZ","002437","誉衡药业","黑龙江","化学制药","中小板","20100623"
"002438.SZ","002438","江苏神通","江苏","机械基件","中小板","20100623"
"002439.SZ","002439","启明星辰","北京","软件服务","中小板","20100623"
"002440.SZ","002440","闰土股份","浙江","染料涂料","中小板","20100706"
"002441.SZ","002441","众业达","广东","电气设备","中小板","20100706"
"002442.SZ","002442","龙星化工","河北","化工原料","中小板","20100706"
"002443.SZ","002443","金洲管道","浙江","钢加工","中小板","20100706"
"002444.SZ","002444","巨星科技","浙江","轻工机械","中小板","20100713"
"002445.SZ","002445","中南文化","江苏","钢加工","中小板","20100713"
"002446.SZ","002446","盛路通信","广东","通信设备","中小板","20100713"
"002448.SZ","002448","中原内配","河南","汽车配件","中小板","20100716"
"002449.SZ","002449","国星光电","广东","半导体","中小板","20100716"
"002451.SZ","002451","摩恩电气","上海","电气设备","中小板","20100720"
"002452.SZ","002452","长高电新","湖南","电气设备","中小板","20100720"
"002453.SZ","002453","华软科技","江苏","软件服务","中小板","20100720"
"002454.SZ","002454","松芝股份","上海","汽车配件","中小板","20100720"
"002455.SZ","002455","百川股份","江苏","化工原料","中小板","20100803"
"002456.SZ","002456","欧菲光","深圳","元器件","中小板","20100803"
"002457.SZ","002457","青龙管业","宁夏","塑料","中小板","20100803"
"002458.SZ","002458","益生股份","山东","农业综合","中小板","20100810"
"002459.SZ","002459","晶澳科技","河北","电气设备","中小板","20100810"
"002460.SZ","002460","赣锋锂业","江西","小金属","中小板","20100810"
"002461.SZ","002461","珠江啤酒","广东","啤酒","中小板","20100818"
"002462.SZ","002462","嘉事堂","北京","医药商业","中小板","20100818"
"002463.SZ","002463","沪电股份","江苏","元器件","中小板","20100818"
"002465.SZ","002465","海格通信","广东","通信设备","中小板","20100831"
"002466.SZ","002466","天齐锂业","四川","小金属","中小板","20100831"
"002467.SZ","002467","二六三","北京","电信运营","中小板","20100908"
"002468.SZ","002468","申通快递","浙江","仓储物流","中小板","20100908"
"002469.SZ","002469","三维化学","山东","化工原料","中小板","20100908"
"002470.SZ","002470","ST金正","山东","农药化肥","中小板","20100908"
"002471.SZ","002471","中超控股","江苏","电气设备","中小板","20100910"
"002472.SZ","002472","双环传动","浙江","汽车配件","中小板","20100910"
"002474.SZ","002474","榕基软件","福建","软件服务","中小板","20100915"
"002475.SZ","002475","立讯精密","深圳","元器件","中小板","20100915"
"002476.SZ","002476","宝莫股份","山东","化工原料","中小板","20100915"
"002478.SZ","002478","常宝股份","江苏","钢加工","中小板","20100921"
"002479.SZ","002479","富春环保","浙江","环境保护","中小板","20100921"
"002480.SZ","002480","新筑股份","四川","机械基件","中小板","20100921"
"002481.SZ","002481","双塔食品","山东","食品","中小板","20100921"
"002482.SZ","002482","ST广田","深圳","装修装饰","中小板","20100929"
"002483.SZ","002483","润邦股份","江苏","工程机械","中小板","20100929"
"002484.SZ","002484","江海股份","江苏","元器件","中小板","20100929"
"002485.SZ","002485","*ST雪发","山东","服饰","中小板","20101015"
"002486.SZ","002486","嘉麟杰","上海","服饰","中小板","20101015"
"002487.SZ","002487","大金重工","辽宁","电气设备","中小板","20101015"
"002488.SZ","002488","金固股份","浙江","汽车配件","中小板","20101021"
"002489.SZ","002489","浙江永强","浙江","家居用品","中小板","20101021"
"002490.SZ","002490","山东墨龙","山东","化工机械","中小板","20101021"
"002491.SZ","002491","通鼎互联","江苏","通信设备","中小板","20101021"
"002492.SZ","002492","恒基达鑫","广东","仓储物流","中小板","20101102"
"002493.SZ","002493","荣盛石化","浙江","化纤","中小板","20101102"
"002494.SZ","002494","华斯股份","河北","服饰","中小板","20101102"
"002495.SZ","002495","佳隆股份","广东","食品","中小板","20101102"
"002496.SZ","002496","辉丰股份","江苏","农药化肥","中小板","20101109"
"002497.SZ","002497","雅化集团","四川","小金属","中小板","20101109"
"002498.SZ","002498","汉缆股份","山东","电气设备","中小板","20101109"
"002500.SZ","002500","山西证券","山西","证券","中小板","20101115"
"002501.SZ","002501","利源精制","吉林","铝","中小板","20101117"
"002502.SZ","002502","鼎龙文化","广东","影视音像","中小板","20101117"
"002503.SZ","002503","搜于特","广东","服饰","中小板","20101117"
"002504.SZ","002504","ST弘高","北京","装修装饰","中小板","20101118"
"002505.SZ","002505","鹏都农牧","湖南","商贸代理","中小板","20101118"
"002506.SZ","002506","协鑫集成","上海","电气设备","中小板","20101118"
"002507.SZ","002507","涪陵榨菜","重庆","食品","中小板","20101123"
"002508.SZ","002508","老板电器","浙江","家用电器","中小板","20101123"
"002510.SZ","002510","天汽模","天津","汽车配件","中小板","20101125"
"002511.SZ","002511","中顺洁柔","广东","造纸","中小板","20101125"
"002512.SZ","002512","达华智能","福建","元器件","中小板","20101203"
"002513.SZ","002513","蓝丰生化","江苏","农药化肥","中小板","20101203"
"002514.SZ","002514","宝馨科技","江苏","机械基件","中小板","20101203"
"002515.SZ","002515","金字火腿","浙江","食品","中小板","20101203"
"002516.SZ","002516","旷达科技","江苏","汽车配件","中小板","20101207"
"002517.SZ","002517","恺英网络","福建","互联网","中小板","20101207"
"002518.SZ","002518","科士达","深圳","电气设备","中小板","20101207"
"002519.SZ","002519","银河电子","江苏","通信设备","中小板","20101207"
"002520.SZ","002520","日发精机","浙江","机床制造","中小板","20101210"
"002521.SZ","002521","齐峰新材","山东","造纸","中小板","20101210"
"002522.SZ","002522","浙江众成","浙江","塑料","中小板","20101210"
"002523.SZ","002523","天桥起重","湖南","工程机械","中小板","20101210"
"002524.SZ","002524","光正眼科","新疆","医疗保健","中小板","20101217"
"002526.SZ","002526","山东矿机","山东","工程机械","中小板","20101217"
"002527.SZ","002527","新时达","上海","电器仪表","中小板","20101224"
"002528.SZ","002528","英飞拓","深圳","IT设备","中小板","20101224"
"002529.SZ","002529","海源复材","江西","专用机械","中小板","20101224"
"002530.SZ","002530","金财互联","江苏","软件服务","中小板","20101231"
"002531.SZ","002531","天顺风能","江苏","电气设备","中小板","20101231"
"002532.SZ","002532","天山铝业","浙江","铝","中小板","20101231"
"002533.SZ","002533","金杯电工","湖南","电气设备","中小板","20101231"
"002534.SZ","002534","西子洁能","浙江","专用机械","中小板","20110110"
"002535.SZ","002535","ST林重","河南","工程机械","中小板","20110111"
"002536.SZ","002536","飞龙股份","河南","汽车配件","中小板","20110111"
"002537.SZ","002537","海联金汇","山东","汽车配件","中小板","20110110"
"002538.SZ","002538","司尔特","安徽","农药化肥","中小板","20110118"
"002539.SZ","002539","云图控股","四川","农药化肥","中小板","20110118"
"002540.SZ","002540","亚太科技","江苏","铝","中小板","20110118"
"002541.SZ","002541","鸿路钢构","安徽","钢加工","中小板","20110118"
"002542.SZ","002542","中化岩土","北京","建筑工程","中小板","20110128"
"002543.SZ","002543","万和电气","广东","家用电器","中小板","20110128"
